,0
Tuxedo Park_269446,131210099003009
Westhaven_269461,131210081023000
Westover Plantation_269463,131210089043028
Capitol View Manor_269288,131210065001012
Carver Hills_269290,131210086011000
Channing Valley_269297,131210089024012
Downtown_269306,131210043002003
Lakewood Heights_274258,131210075001024
Poncey-Highland_276516,131210017001022
English Avenue_269315,131210025001003
Fernleaf_269322,131210088001024
Green Acres Valley_269331,131210079003038
Greenbriar Village_269333,131210078022006
Hartsfield-Jackson Atlanta International Airport_403163,131219800001022
Wildwood_403410,131210089024030
Arden - Habersham_403412,131210095013010
Woodfield_403413,131210090002002
Candler Park_269285,131210030002022
Betmar LaVilla_269269,131210065001011
Berkeley Park_269268,131210089023025
Baker Hills_269253,131210078051047
Colonial Homes_269303,131210091013001
Fairburn Heights_269319,131210078051026
Cascade Heights_127629,131210077033004
Hammond Park_269335,131210108002003
Hanover West_269337,131210089043024
Piedmont Heights_403427,131210005002003
Bolton Hills_403429,131210086022016
English Park_403430,131210082023000
Horseshoe Community_403444,131210077043004
Cascade Avenue-Road_403446,131210080004013
Harvel Homes Community_269340,131210082011026
Heritage Valley_269342,131210077032015
Ivan Hill_269349,131210079001001
Druid Hills_403156,130890202002013
Laurens Valley_269365,131210077041001
Margaret Mitchell_269374,131210089043010
Midtown_269381,131210021001000
Old Fourth Ward_269397,131210119002069
Orchard Knob_269399,131210073002012
Peachtree Heights West_269406,131210095011008
Peachtree Park_269408,131210093001001
Hills Park_129333,131210085003000
Vine City_269452,131210038001004
Washington Park_269455,131210024001024
East Atlanta_128368,130890238012014
Adamsville_126753,131210078061020
Wildwood Forest_269468,131210103031041
Wilson Mill Meadows_269469,131210078052022
Wisteria Gardens_269470,131210078063005
Wyngate_269471,131210098013023
Georgia Tech_399508,131210118002032
Atlantic Station_399509,131210006001034
Loring Heights_399510,131210089023015
Midwest Cascade_403171,131210103032019
West Paces Ferry - Northside_403402,131210097002008
Knight Park - Howell Station_403403,131210085001003
Lenox_403404,131210096023019
Pine Hills_403405,131210094022019
Blandtown_403419,131210087004015
Ardmore_403422,131210090003018
Bakers Ferry_403435,131210078052021
Fairburn Road - Wisteria Lane_403436,131210078062003
Sherwood Forest_131716,131210005003019
Princeton Lakes_131132,131210113062006
Deerwood_128190,131210077063023
Cross Creek_128072,131210089043034
Rebel Valley Forest_269421,131210070022010
Harristown_221465,132171007003016
Nelson Heights_761813,132171007001011
Covington Mill_761815,132171003004006
Short Street_761811,132171004002086
Sandhill-Texas Alley_761812,132171007002000
Geiger Street_761814,132171004001085
Hutchinson Island_763638,130510001001028
The Village/Rio/Armstrong_763636,130510109013019
Savannah State/Glynnwood/Placentia Place_763629,130510039002004
Oakland Park/Northgate/Eastgate/Pinehurst_763627,130510035022018
Ardmore/Gould Estates/Olin Heights_763620,130510034003009
Ardsley Park_763618,130510029003018
Thomas Square_763613,130510029001007
Winter Gardens/Brightwood_763611,130510022004007
Dixon Park_763604,130510113002047
Beach Institute_763602,130510011001022
Carver Heights_763595,130510033022008
Hudson Hill/Bayview_763593,130510006013012
Laroche Park_763658,130510035024000
East Victorian District_763657,130510113002033
Sweetwater Plantation_763640,130510108073005
Bradley Pointe South Area_763639,130510108081030
Dale Terrace/Olympus/Victory Square_763626,130510035011023
South Garden_763625,130510040014003
Medical Arts_763624,130510040013019
Abercorn Heights/Lamara Heights/Ridgewood_763623,130510040011004
Sylvan Terrace_763622,130510040015006
Benjamin Van Clark Park_763609,130510021003018
Savannah Gardens_763608,130510036021012
Twickenham_763607,130510022003007
Hillcrest Area_763606,130510021002009
Woodville/Bartow_763592,130510105011005
Skyland Terrace/Greenway Park/Grove Park_763591,130510042102013
Godley Station_763590,130510108011020
Baldwin Park_259346,130510029001023
West Savannah_763594,130510006014026
Laurel Grove/Railroad Area_763596,130510045002004
North Historic District_763601,130510112002018
West Victorian District_763603,130510113001037
Eastside_763605,130510020002047
East Savannah_763610,130510036022008
Victory Manor/East Hill/Donwood_763612,130510035011005
Bingville_763619,130510028003033
Feiler Park/Hussars Terrace/Dittmerville_763621,130510044001007
Fernwood/Parkwood_763628,130510038002002
Brookview/Skidway Terrace/Parkview_763630,130510039004003
Popular Place/University Place_763635,130510043001055
Oakdale_274843,130510040024002
Midtown_763564,130510026002021
Blackshear_763566,130510021001001
Kayton/Frazier Area_763597,130510012001011
South Historic District_763598,130510113001017
Yamacraw Village_763599,130510006014037
Bay Street Viaduct Area_763600,130510006014015
Metropolitan_763614,130510028003009
Cuyler/Brownville_763615,130510045002002
Beach High School Area/Feiler Terrace_763616,130510045003000
Hunter Army Airfield_9926,130510108061001
Habersham Woods_763559,130510040011017
Rose DHU_763637,130510115001027
Chatham Parkway_763589,130510105015005
Sackville_414703,130510035013008
Cloverdale_259408,130510045001022
Sunset Park_132076,130510038001022
Pine Gardens_130924,130510036012023
Liberty City/Summerside_129905,130510105021008
Gordonston_128969,130510022004001
Jackson Park_763617,130510045002019
Bacon Park Area/Sandfly_763631,130510110031008
Wilshire Estates/Savannah Mall_763632,130510109013008
Largo Woods_763633,130510109011011
Leeds Gate/Colonial Village/Hunters Chase_763634,130510042081001
White Bluff_132682,130510115002002
Tremont Park_132325,130510045004002
Robert Hitch Village_131380,130510011001000
Ogeecheeton/Dawes Avenue_130687,130510045001029
Lynhurst/Rivers End_130017,130510042091002
Kensington Park_129651,130510040011012
Groveland_129074,130510040011009
Forest Hills_128747,130510039001007
Fairway Oaks_128586,130510040014011
Coffee Bluff_127877,130510109013018
Teal Lake/Gateway Village/South Oaks/Canebreak_764334,130510108081007
Parkside_274978,130510035012005
Windsor Forest_132788,130510109013019
Tatemville_132153,130510043001008
Oakhurst_130649,130510042101000
Magnolia Park/Blueberry Hill_130044,130510040014011
Highland Park_129312,130510040024027
Fairfield_128557,130510035013014
Cann Park_763588,130510028002025
Live Oak_260349,130510030001004
Victory Heights_132467,130510035021000
Mayfair_130125,130510041001003
Georgetown_128864,130510108072036
Edgemere_128412,130510035012016
Avondale_126960,130510036024017
Paradise Park_117205,130510042093014
South Side_229827,131850114022018
Central Business Distict_762515,131850114022006
Brookwood_103249,131850110001007
Little Miami_129938,131850108003050
Greer Park_762516,131850114022032
Leila Ellis_762659,131850113021065
Lincoln Park_189345,131850108001021
Brook Haven_264403,131850113013020
Pineville_267540,131850108002070
Tom Town_762513,131850113021045
Devonwood_762514,131850108001004
Cypress_259426,131850110002041
Ulmer Avenue_762688,131850108003052
West Side_762689,131850109002000
North Patterson Street_762690,131850113022026
Hightower_104712,131850109001010
