census_key,FIPS,Tract,Block,Tract_block
33.793_-84.351,131210001004015.00,'000100','4015','000100':'4015'
33.763000000000005_-84.351,131210030002001.00,'003000','2001','003000':'2001'
33.821_-84.351,131210092002001.00,'009200','2001','009200':'2001'
33.772_-84.351,131210015001009.00,'001500','1009','001500':'1009'
33.738_-84.351,131210052003034.00,'005200','3034','005200':'3034'
33.821999999999996_-84.351,131210092002001.00,'009200','2001','009200':'2001'
33.821_-84.352,131210092003000.00,'009200','3000','009200':'3000'
33.818000000000005_-84.352,131210092003029.00,'009200','3029','009200':'3029'
33.816_-84.352,131210092002004.00,'009200','2004','009200':'2004'
33.7_-84.352,131210071002016.00,'007100','2016','007100':'2016'
33.792_-84.352,131210001001000.00,'000100','1000','000100':'1000'
33.847_-84.352,131210094042008.00,'009404','2008','009404':'2008'
33.821999999999996_-84.352,131210092003000.00,'009200','3000','009200':'3000'
33.741_-84.352,131210052003020.00,'005200','3020','005200':'3020'
33.772_-84.352,131210015001008.00,'001500','1008','001500':'1008'
33.773_-84.352,131210015001001.00,'001500','1001','001500':'1001'
33.775999999999996_-84.352,131210015004000.00,'001500','4000','001500':'4000'
33.701_-84.352,131210071002006.00,'007100','2006','007100':'2006'
33.691_-84.352,131210071001014.00,'007100','1014','007100':'1014'
33.815_-84.352,131210092002004.00,'009200','2004','009200':'2004'
33.77_-84.352,131210016001001.00,'001600','1001','001600':'1001'
33.778_-84.352,131210015002014.00,'001500','2014','001500':'2014'
33.732_-84.352,131210052001015.00,'005200','1015','005200':'1015'
33.783_-84.352,131210001002005.00,'000100','2005','000100':'2005'
33.771_-84.352,131210016001001.00,'001600','1001','001600':'1001'
33.778_-84.353,131210015003001.00,'001500','3001','001500':'3001'
33.713_-84.353,131210069001010.00,'006900','1010','006900':'1010'
33.658_-84.353,131210072001026.00,'007200','1026','007200':'1026'
33.741_-84.353,131210052003021.00,'005200','3021','005200':'3021'
33.788000000000004_-84.353,131210001001008.00,'000100','1008','000100':'1008'
33.813_-84.353,131210092002007.00,'009200','2007','009200':'2007'
33.772_-84.353,131210015001007.00,'001500','1007','001500':'1007'
